498.77,501.49,MAN,I apologise. I assumed you knew.
503.01,507.02,MAN,I am Dracula.
507.61,509.84,Buffy,Get out.
514.25,517.88,Willow,"Xand, what if somebody had a secret"
517.97,522.41,Willow,and that somebody promised somebody
517.97,522.41,Willow,else that they wouldn't tell anyone?
522.49,525.25,Xander,"Newsflash, Will. Everybody knows."
525.33,527.77,Willow,"No, this isn't about me and Tara."
528.25,531.77,Xander,Not that I wouldn't be all ears
528.25,531.77,Xander,if you wanted to tell me a secret.
531.85,533.68,Xander,"Even if it was very, very naughty."
533.77,537.97,Willow,"Sorry, this is of the nonnaughty variety."
533.77,537.97,Willow,And I'm not telling you.
538.81,541.65,Xander,OK. Wanna see if Buffy's
538.81,541.65,Xander,hanging around the headstones?
541.73,544.81,Willow,"Sure. So if I was gonna tell you,"
541.73,544.81,Willow,which I'm not going to...
545.09,549.33,Buffy,So let me get this straight.
545.09,549.33,Buffy,"You're ""Dracula""."
549.41,551.53,Buffy,The guy. The Count.
552.21,552.65,Dracula,I am.
552.65,555.52,Buffy,This isn'tjust some fanboy thing?
555.61,560.81,Buffy,Cos I've fought a lot of pimply overweight
555.61,560.81,Buffy,vamps that called themselves Lestat.
561.41,567.2,Dracula,You know who I am. As I would know without
561.41,567.2,Dracula,question that you are Buffy Summers.
569.33,571.4,Buffy,You've heard of me?
571.49,576.12,Dracula,Naturally. You're known
571.49,576.12,Dracula,throughout the world.
577.73,579.88,Buffy,No. Really?
580.05,582.57,Dracula,Why else would I come here?
582.65,584.64,Dracula,For the sun?
586.29,589.44,Dracula,I came to meet the renowned killer.
589.53,592.92,Buffy,"Yeah, I prefer the term ""slayer""."
589.53,592.92,Buffy,"Killer"" just sounds so..."
593.01,594.69,Dracula,Naked?
595.09,597.81,Buffy,Like I paint clowns or something.
598.81,600.85,Buffy,"I'm the good guy, remember?"
601.01,604.48,Dracula,"Perhaps, but your power"
601.01,604.48,Dracula,is rooted in darkness.
604.57,606.56,Dracula,You must feel it.
608.73,611.57,Buffy,No. You know what I feel?
611.65,612.64,Buffy,Bored.
621.45,623.65,Buffy,"OK, that's cheating."
624.21,626.25,Xander,"Hey, Buff, what's up?"
626.33,627.81,Willow,You look like you just...
627.81,629.05,Buffy,Get out of here. Now.
629.13,634.02,Xander,Fine. I was gonna give you
629.13,634.02,Xander,a sip of my doublemint mocha...
632.09,634.29,Buffy,Behind you.
635.37,636.69,Willow,Hi.
636.77,640.89,Xander,Nice. Look who's got
636.77,640.89,Xander,a bad case of Dark Prince envy.
640.97,644.17,Dracula,I have no interest in you. Leave us.
644.77,647.21,Xander,"No, we're not going to ""leave you""."
647.29,649.73,Xander,And where'd you get that accent?
647.29,649.73,Xander,Sesame Street?
649.81,652.12,Xander,"Von, two, three... three victims."
652.21,654.2,Buffy,Mahhahahaha!
652.21,654.2,Buffy,Xander.
655.45,657.44,Buffy,I'm pretty sure that's Dracula.
658.81,661.09,Xander,"Wow, really?"
661.17,664.53,Xander,"Sorry, man. I was justjokin' around."
665.69,667.92,Dracula,This is not the time.
669.85,672.05,Dracula,I will see you soon.
678.49,680.48,Buffy,Bat.
683.17,685.33,The bat squeaks and flies away again. Cut to,"Buffy's all ""Look out!"" And then frigging"
685.33,687.17,Xander,Dracula's standing right behind us.
687.25,689.35,Willow,"And then he lunges at us, like, whoosh."
689.35,691.29,Xander,He totally looked shorter in person.
691.37,695.41,Buffy,I told you he'd heard of me. Can you
691.37,695.41,Buffy,believe that? Count Famous heard of me.
695.49,699.93,Riley,I couldn't believe it the first 20 times
695.49,699.93,Riley,"you told us, but it's starting to sink in now."
700.01,704.02,Buffy,I'm sorry. Am I RepeatOGirl?
702.13,704.12,Buffy,I was just blown away.
704.21,707.6,Riley,It's not that surprising that he's
704.21,707.6,Riley,heard of you. You are the Slayer.
707.77,711.97,Buffy,"I guess. Just the way he said it, you know?"
707.77,711.97,Buffy,"I mean, he made it sound so..."
712.05,714.85,Willow,Sexy? I bet he made it sound sexy.
714.93,719.64,Buffy,"Kinda. He of the dark,"
714.93,719.64,Buffy,penetrating eyes and lilty accent.
719.81,722.47,Xander,<i>(V.O)</i> I wonder if he knows Frankenstein.
